"","dynamicColors","mergedColors"
"DNAJA1","green","green"
"DNAJA2","grey","grey"
"DNAJA3","purple","purple"
"DNAJA4","magenta","magenta"
"DNAJB11","blue","blue"
"DNAJB13","grey","grey"
"DNAJB14","turquoise","turquoise"
"DNAJB2","yellow","yellow"
"DNAJB4","pink","pink"
"DNAJB5","black","black"
"DNAJB7","grey","grey"
"DNAJB9","blue","blue"
"DNAJC10","turquoise","turquoise"
"DNAJC12","brown","brown"
"DNAJC13","turquoise","turquoise"
"DNAJC15","grey","grey"
"DNAJC16","blue","blue"
"DNAJC1","pink","pink"
"DNAJC17","purple","purple"
"DNAJC18","tan","tan"
"DNAJC19","turquoise","turquoise"
"DNAJC22","blue","blue"
"DNAJC27","blue","blue"
"DNAJC28","green","green"
"DNAJC30","turquoise","turquoise"
"DNAJC3","turquoise","turquoise"
"DNAJC4","yellow","yellow"
"DNAJC5B","red","magenta"
"DNAJC6","turquoise","turquoise"
"DNAJC9","green","green"
"DNAL1","brown","brown"
"DNAL4","turquoise","turquoise"
"DNALI1","brown","brown"
"DNASE1","purple","purple"
"DNASE1L2","purple","purple"
"DNASE1L3","greenyellow","greenyellow"
"DNASE2B","grey","grey"
